,,winning_home,losing_Home
England,09,45.526315789473685,28.947368421052634
England,10,50.78947368421053,23.94736842105263
England,11,47.10526315789474,23.684210526315788
England,12,45.0,30.526315789473685
England,13,43.684210526315795,27.89473684210526
England,14,47.10526315789474,32.36842105263158
England,15,45.26315789473684,30.263157894736842
England,16,41.31578947368421,30.526315789473685
