,,winning_home,winning_away
Manchester United,09,16,12
Liverpool,09,12,13
Chelsea,09,11,14
Arsenal,09,11,9
Everton,09,8,9
Aston Villa,09,7,10
Fulham,09,11,3
Tottenham Hotspur,09,10,4
West Ham United,09,9,5
Manchester City,09,13,2
Wigan Athletic,09,8,4
Stoke City,09,10,2
Bolton Wanderers,09,7,4
Portsmouth,09,8,2
Blackburn Rovers,09,6,4
Sunderland,09,6,3
Hull City,09,3,5
Newcastle United,09,5,2
Middlesbrough,09,5,2
West Bromwich Albion,09,7,1
