,,winning_games_home,losing_games_home
Manchester United,09,16,1
Liverpool,09,12,0
Chelsea,09,11,2
Arsenal,09,11,3
Everton,09,8,5
Aston Villa,09,7,3
Fulham,09,11,5
Tottenham Hotspur,09,10,4
West Ham United,09,9,8
Manchester City,09,13,6
Wigan Athletic,09,8,6
Stoke City,09,10,4
Bolton Wanderers,09,7,7
Portsmouth,09,8,8
Blackburn Rovers,09,6,6
Sunderland,09,6,10
Hull City,09,3,11
Newcastle United,09,5,7
Middlesbrough,09,5,5
West Bromwich Albion,09,7,9
