,,winning_home,winning_away
Chelsea,10,17,10
Manchester United,10,16,11
Arsenal,10,15,8
Tottenham Hotspur,10,14,7
Manchester City,10,12,6
Aston Villa,10,8,9
Liverpool,10,13,5
Everton,10,11,5
Birmingham City,10,8,5
Blackburn Rovers,10,10,3
Stoke City,10,7,4
Fulham,10,11,1
Sunderland,10,9,2
Bolton Wanderers,10,6,4
Wolverhampton Wanderers,10,5,4
Wigan Athletic,10,6,3
West Ham United,10,7,1
Burnley,10,7,1
Hull City,10,6,0
Portsmouth,10,5,2
